Title,Author,Description,Theme,Genre
"The Waste Lands (The Dark Tower, Book 3)",Stephen King,"Roland, the Last Gunslinger, moves closer to The Dark Tower of his dreams and nightmares through a world of the fiendish foes.",Gothic Vampire Fiction,Fantasy Literature
The Regulators,Richard Bachman,Stephen King writing as Richard Bachman.,Epic Fantasy,Fantasy Literature
The Angel of Darkness,Caleb Carr,"In one of the most critically acclaimed novels of the year, Caleb Carr-- bestselling author of The Alienist--pits Dr. Laszlo Kreizler and his colleagues against a murderer as evil as the darkest night. . . .",Gothic Vampire Fiction,Fantasy Literature
Saving Faith,David Baldacci,"When lobbyist Faith Lockhart stumbles upon a corruption scheme at the highest levels of government, she becomes a dangerous witness who the most powerful men in the world will go to any lengths to silence in this #1 New York Times bestselling thriller. In a secluded house not far from Washington, D.C., the FBI is interviewing one of the most important witnesses it has ever had: a young woman named Faith Lockhart. For Faith has done too much, knows too much, and will tell too much. Feared by some of the most powerful men in the world, Faith has been targeted to die. But when a private investigator walks into the middle of the assassination attempt, the shooting suddenly goes wrong, and an FBI agent is killed. Now Faith Lockhart must flee for her life--with her story, her deadly secret, and an unknown man she's forced to trust...",Crime Thrillers and Detective Drama,Crime & Detective Fiction
From This Day,Nora Roberts,"AN UNEXPECTED DILEMMA,When B. J. Clark, the young and pretty manager of the Lakeside Inn, met the new owner, Taylor Reynolds, she was fully prepared to dislike him. For she feared-with good reason-that he planned to transform her sleepy old hotel into a resort for jet-setters.,That sparks should fly between them was inevitable. But that these should be fanned by a mutual passion was no in her plans. Against all reason B.J. found herself torn between her professional antagonism and her growing attraction to the man she had sworn to despise.",Relationships and Family Dynamics,Romance & Relationships
Practical Demonkeeping,Christopher Moore,"Practical Demonkeeping is a novel by American writer Christopher Moore, published in 1992. His first novel, it deals with a demon from Hell and his master. The novel has been translated and published in German, Italian, Japanese, Spanish, Portuguese and Russian.",Gothic Vampire Fiction,Fantasy Literature
Night Mare (Xanth Novels (Paperback)),Piers Anthony,"Night Mare is a fantasy novel by American writer Piers Anthony, the sixth book of the Xanth series . In the book, Xanth is under threat of a barbarian invasion from Mundania. Its only hope is the talents of the Magicians of Xanth and an exiled night mare, sent to the world of waking with the dire message: ""Beware the Horseman.""

",Gothic Vampire Fiction,Fantasy Literature
Shibumi,Trevanian,"When a beautiful young stranger shows up at his mountain fortress, Nicholai Hel, an assassin by training, is drawn into battle with a ruthless espionage company known only as the Organización Madre.",Espionage Thriller,Action & Psychological Thrillers
Big Trouble,Dave Barry,"Barry's irreverently funny fiction debut about love and mayhem in south Florida, a New York Times bestseller, is the basis for the new Touchstone motion picture, directed by Barry Sonnenfeld (The Addams Family, Men in Black) and starring Tim Allen, Rene Russo, Jeaneane Garofalo, and Stanley Tucci.",Humor and Satire,Humor & Satire
SKINNY LEGS AND ALL,TOM ROBBINS,"An Arab and a Jew open a restaurant together across the street from the United Nations.... It sounds like the beginning of an ethnic joke, but it's the axis around which spins this gutsy, fun-loving, and alarmingly provocative novel, in which a bean can philosophizes, a dessert spoon mystifies, a young waitress takes on the New York art world, and a rowdy redneck welder discovers the lost god of Palestine--while the illusions that obscure humanity's view of the true universe fall away, one by one, like Salome's veils. Skinny Legs and All deals with today's most sensitive issues: race, politics, marriage, art, religion, money, and lust. It weaves lyrically through what some call the ""end days"" of our planet. Refusing to avert its gaze from the horrors of the apocalypse, it also refuses to let the alleged end of the world spoil its mood. And its mood is defiantly upbeat. In the gloriously inventive Tom Robbins style, here are characters, phrases, stories, and ideas that dance together on the page, wild and sexy, like Salome herself. Or was it Jezebel?",Humor and Satire,Humor & Satire
Mid-Life Confidential: The Rock Bottom Remainders Tour America With Three Chords and an Attitude,Dave Marsh,Writers and rock music critics describe their experiences touring with the rock band they formed to raise money for charity,Romantic Relationships,Romance & Relationships
"Loves Music, Loves to Dance",Mary Higgins Clark,A killer draws his victims from the women who respond to his personal ads in trendy New York magazines.,Murder Mystery,Crime & Detective Fiction
Sugarplum Dead : A Death on Demand Mystery (Death on Demand Mysteries (Paperback)),Carolyn Hart,"Carolyn Hart (also known as Carolyn G. Hart) is an American mystery and suspense writer. She is the author of 63 books, including the Death on Demand, Henrie O and Bailey Ruth series.  In 2014, she was  named a Grand Master by the Mystery Writers of America. She was born in Oklahoma in 1936.

",American Literature & Classic Prose,Literary Classics
The Bride Hunt,JANE FEATHER,"In the second volume of the romantic trilogy featuring the Duncan sisters and their matchmaking service in Edwardian London, Prudence enlists the aid of Sir Gideon Malvern when a powerful earl threatens to ruin them.",Historical Time-Travel Romance,Romance & Relationships
Once and Always,Judith McNaught,"Once and Always, one of Judith McNaught's most masterful and moving love stories, powerfully brings to life the fiery passion of a free-spirited American beauty and a troubled English lord.,Suddenly orphaned and alone, Victoria Seaton sails the vast ocean, eager to reclaim her heritage at Wakefield, the sumptuous English estate of a distant cousin, the notorious Lord Jason Fielding. Bewildered by his arrogance yet drawn to his panther-like grace, she senses the painful memories that smolder in his eyes. When he gathers her at last into his arms, arousing a sweet, insistent hunger, they wed and are embraced by fierce, consuming joy -- free from the past's cruel grasp. Then, in a moment of anguish, Victoria discovers the treachery at the heart of their love . . . a love she had dreamed would triumph not just once, but always.",Relationships and Family Dynamics,Romance & Relationships
